id_persona,CURP,nombre,apellido_paterno,apellido_materno,sexo,año_nacimiento,edad_censo_2020,estado,municipio,localidad,clave_geo,AGEB,MZA,lat,lon,nivel_educativo,estado_civil,num_dependientes,tipo_vivienda,acceso_agua,acceso_drenaje,acceso_electricidad,tiene_internet,tiene_computadora,hacinamiento_index,religion,habla_lengua_indigena
27,DZBD060927HNLKYHBP3,Andrés,Lara,Hernández,Hombre,2006,14,Nuevo León,Monterrey,Residencial San Agustín,19019,1398,046,25.675709,-100.310095,Posgrado,Soltero(a),1,Casa propia pagada,Sí,Sí,Sí,Sí,No,3.59,Sin religión,No
28,WANT001111HNLKHVTK9,Rafael,Cruz,Díaz,Hombre,2000,20,Nuevo León,Guadalupe,Cumbres,19026,3216,047,25.689415,-100.273685,Técnico superior,Casado(a),2,Cuarto en vecindad,Sí,Sí,Sí,Sí,No,2.51,Católica,No
29,WMXY070805HNLJKGQN0,Antonio,Hernández,Álvarez,Hombre,2007,13,Nuevo León,General Escobedo,Las Puentes,19021,1733,044,25.811926,-100.319302,Secundaria,Casado(a),1,Casa propia (crédito),Sí,Sí,Sí,No,Sí,1.93,Católica,No
30,MYEA060911HNLXQSSP2,Antonio,Morales,Jiménez,Hombre,2006,14,Nuevo León,Linares,Paseo de San Patricio,19032,2840,029,24.846705,-99.569692,Primaria incompleta,Soltero(a),1,Casa rentada,Sí,Sí,Sí,Sí,Sí,2.74,Católica,No
31,FPHH070326MNLCWCSN4,Ana,Álvarez,Mendoza,Mujer,2007,13,Nuevo León,Guadalupe,Residencial San Agustín,19026,4675,038,25.659169,-100.263571,Secundaria,Soltero(a),1,Casa propia (crédito),Sí,Sí,Sí,No,No,3.03,Sin religión,No
32,GKKU010219MNLKKHZN3,Camila,García,Longoria,Mujer,2001,19,Nuevo León,Carmen,Colinas de San Jerónimo,19011,9318,004,25.684631,-100.059482,Técnico superior,Soltero(a),1,Casa propia (crédito),Sí,Sí,Sí,Sí,No,0.82,Católica,No
33,ZQNB071103HNLJVCJR7,Luis,Garza,Mendoza,Hombre,2007,13,Nuevo León,Cadereyta Jiménez,Paseo de San Patricio,19010,2525,011,25.570753,-100.02237,Preparatoria,Soltero(a),2,Casa propia pagada,Sí,Sí,Sí,No,No,0.51,Católica,No
34,SJKB070120HNLXXLTG5,Rubén,Hernández,Cavazos,Hombre,2007,13,Nuevo León,Monterrey,Paseo de San Patricio,19019,9616,022,25.676239,-100.316335,Secundaria,Casado(a),2,Casa propia pagada,Sí,Sí,Sí,Sí,Sí,1.52,Católica,No
35,FPOD020318HNLJVMMH7,José,Jiménez,Villarreal,Hombre,2002,18,Nuevo León,General Escobedo,La Finca,19021,7914,022,25.806751,-100.344295,Técnico superior,Viudo(a),0,Casa prestada,Sí,No,Sí,Sí,Sí,1.32,Sin religión,No
36,RBEH021118MNLPBHQK6,Ximena,Cantú,Díaz,Mujer,2002,18,Nuevo León,Monterrey,Valle Norte,19019,7935,031,25.691089,-100.307225,Licenciatura,Casado(a),2,Casa propia pagada,Sí,No,Sí,No,Sí,1.19,Católica,No
37,LZKT070705HNLCXWCK2,Javier,Cantú,Lara,Hombre,2007,13,Nuevo León,Juárez,Residencial San Agustín,19031,7407,006,25.599444,-100.09876,Licenciatura,Casado(a),3,Casa propia (crédito),Sí,Sí,Sí,Sí,No,1.37,Cristiana evangélica,No
38,KSYC010901HNLVLTBD5,José,Cruz,Treviño,Hombre,2001,19,Nuevo León,San Nicolás de los Garza,Colonia Centro,19039,6450,032,25.737871,-100.323123,Preparatoria,Casado(a),0,Casa propia pagada,Sí,Sí,Sí,Sí,No,3.79,Católica,No
39,YNCB060204MNLMYYNH0,Sofía,Ramírez,Castro,Mujer,2006,14,Nuevo León,San Nicolás de los Garza,Valle Norte,19039,5568,009,25.741557,-100.297363,Posgrado,Divorciado(a),0,Casa propia pagada,No,Sí,Sí,Sí,Sí,3.06,Católica,No
40,WSPJ020106HNLYVWHL9,Miguel,Rodríguez,Flores,Hombre,2002,18,Nuevo León,Juárez,Paseo de San Patricio,19031,4922,018,25.619672,-100.094705,Primaria incompleta,Soltero(a),2,Casa rentada,Sí,Sí,Sí,Sí,No,1.69,Católica,No
41,LMTE021001MNLKXZDJ8,Camila,Reyes,González,Mujer,2002,18,Nuevo León,Cadereyta Jiménez,Valle Norte,19010,7387,044,25.577258,-100.004567,Preparatoria,Soltero(a),0,Casa propia pagada,Sí,Sí,Sí,Sí,No,3.24,Católica,No
42,EBKC010604MNLPYBFC7,Verónica,Longoria,Cruz,Mujer,2001,19,Nuevo León,Santa Catarina,Paseo de San Patricio,19046,4123,040,25.680839,-100.469106,Técnico superior,Soltero(a),4,Casa rentada,Sí,Sí,Sí,Sí,No,4.12,Católica,No
43,HNLS980715MNLRVDYP0,Valeria,Rodríguez,Medina,Mujer,1998,22,Nuevo León,Monterrey,San Bernabé,19019,8300,039,25.692621,-100.314184,Preparatoria,Soltero(a),0,Casa propia pagada,Sí,Sí,Sí,No,Sí,2.84,Católica,No
44,AIPY040122HNLKBTKW9,Rafael,Guerrero,Vázquez,Hombre,2004,16,Nuevo León,Santa Catarina,Valle Oriente,19046,9164,043,25.667871,-100.474631,Licenciatura,Soltero(a),4,Casa propia (crédito),Sí,Sí,Sí,Sí,Sí,3.06,Católica,No
45,GASQ020315MNLPVZNG5,Camila,Cantú,Sánchez,Mujer,2002,18,Nuevo León,General Escobedo,Mitras Centro,19021,6246,031,25.828651,-100.3424,Secundaria,Casado(a),0,Casa rentada,Sí,Sí,Sí,Sí,No,1.17,Cristiana evangélica,No
46,KCAK010905MNLYGYPJ9,Valeria,Garza,Morales,Mujer,2001,19,Nuevo León,García,Colonia Centro,19018,4815,006,25.826189,-100.612828,Secundaria,Soltero(a),0,Casa propia (crédito),Sí,Sí,Sí,No,Sí,3.73,Católica,No
47,YJQK051124MNLHGTYL8,Cristina,Lara,Pérez,Mujer,2005,15,Nuevo León,Ciénega de Flores,Cumbres,19013,1459,039,26.01736,-100.163294,Preparatoria,Divorciado(a),3,Casa propia (crédito),Sí,No,Sí,Sí,Sí,2.68,Católica,No
48,WKKL041122MNLBKZFC6,Isabella,Ramos,Salinas,Mujer,2004,16,Nuevo León,General Escobedo,Las Puentes,19021,5457,014,25.80184,-100.321361,Licenciatura,Casado(a),0,Casa prestada,No,No,Sí,Sí,No,2.8,Católica,No
49,HTUT031120MNLBDKLP0,Mariana,Herrera,Longoria,Mujer,2003,17,Nuevo León,San Nicolás de los Garza,El Mirador,19039,1391,043,25.749684,-100.312095,Preparatoria,Soltero(a),2,Casa propia pagada,Sí,Sí,Sí,Sí,Sí,4.18,Católica,No
50,LGZZ051125HNLRDBCJ4,Javier,Cruz,Jiménez,Hombre,2005,15,Nuevo León,Juárez,Las Puentes,19031,9730,045,25.640277,-100.104738,Licenciatura,Soltero(a),3,Casa propia (crédito),Sí,Sí,Sí,Sí,Sí,3.27,Católica,No
51,PELP050327MNLRPGQQ2,Valentina,Reyes,Hernández,Mujer,2005,15,Nuevo León,Apodaca,Mitras Centro,19006,7049,043,25.760815,-100.184522,Licenciatura,Soltero(a),2,Cuarto en vecindad,Sí,Sí,Sí,Sí,Sí,0.6,Católica,No
52,XMEF990625MNLMHDXP8,Paola,Vázquez,Treviño,Mujer,1999,21,Nuevo León,San Pedro Garza García,Las Puentes,19041,5374,029,25.675139,-100.401008,Primaria incompleta,Casado(a),0,Casa rentada,Sí,Sí,Sí,No,Sí,3.64,Católica,No
53,ZDRW051003MNLRFPYG8,Gabriela,Herrera,Martínez,Mujer,2005,15,Nuevo León,Linares,San Bernabé,19032,9069,020,24.845885,-99.553536,Primaria completa,Divorciado(a),0,Casa rentada,Sí,Sí,Sí,No,Sí,0.67,Cristiana evangélica,No
54,GINJ031124HNLNJPXY3,Luis,Herrera,García,Hombre,2003,17,Nuevo León,Monterrey,Las Puentes,19019,1109,043,25.699664,-100.316837,Primaria incompleta,Soltero(a),1,Casa propia (crédito),Sí,Sí,Sí,No,Sí,2.43,Católica,Sí
55,XDQY060212MNLTWRGB2,Brenda,García,Garza,Mujer,2006,14,Nuevo León,Juárez,El Mirador,19031,5447,003,25.671226,-100.112447,Primaria completa,Soltero(a),1,Casa prestada,Sí,No,Sí,Sí,Sí,3.87,Cristiana evangélica,No
56,ICXN040418HNLXHYLT6,Sergio,Sánchez,Jiménez,Hombre,2004,16,Nuevo León,General Escobedo,Valle Norte,19021,8115,003,25.815298,-100.353814,Sin escolaridad,Soltero(a),0,Casa prestada,Sí,Sí,Sí,Sí,No,1.01,Católica,No
57,FCBW020302HNLXSQTG2,Óscar,Longoria,Pérez,Hombre,2002,18,Nuevo León,Monterrey,Colonia Centro,19019,2104,010,25.681371,-100.314608,Licenciatura,Casado(a),4,Casa prestada,Sí,Sí,Sí,Sí,No,2.49,Católica,Sí
58,FQAS990109HNLMFDNM9,Rafael,Flores,Medina,Hombre,1999,21,Nuevo León,Monterrey,Residencial San Agustín,19019,5141,028,25.688133,-100.300104,Preparatoria,Unión libre,2,Casa rentada,Sí,Sí,Sí,Sí,Sí,2.78,Católica,No
59,CCVE061113MNLDXNCH6,Laura,Lara,García,Mujer,2006,14,Nuevo León,San Nicolás de los Garza,Colinas de San Jerónimo,19039,3421,019,25.736262,-100.306617,Licenciatura,Unión libre,3,Casa propia (crédito),Sí,Sí,Sí,Sí,No,3.64,Católica,No
60,XUMS970726MNLQZDCX3,Paola,Ruiz,Pérez,Mujer,1997,23,Nuevo León,San Nicolás de los Garza,Valle Oriente,19039,9960,025,25.746577,-100.309405,Primaria completa,Soltero(a),4,Casa prestada,Sí,Sí,Sí,Sí,Sí,0.58,Católica,No
61,PNHC991220HNLXJLBC0,Javier,Rivera,Castro,Hombre,1999,21,Nuevo León,Carmen,La Finca,19011,4302,029,25.699624,-100.071564,Licenciatura,Casado(a),0,Casa rentada,Sí,Sí,Sí,No,No,0.56,Católica,No
62,EPVQ010912MNLRBYXS7,Fernanda,Cavazos,Ortiz,Mujer,2001,19,Nuevo León,Guadalupe,El Mirador,19026,9407,035,25.672736,-100.272425,Técnico superior,Viudo(a),1,Casa rentada,Sí,Sí,Sí,Sí,No,3.75,Católica,No
63,FCOY970822HNLRMZDB7,Héctor,Ramos,Rivera,Hombre,1997,23,Nuevo León,Guadalupe,Paseo de San Patricio,19026,4471,024,25.66993,-100.267902,Preparatoria,Soltero(a),2,Casa rentada,Sí,Sí,Sí,No,No,0.59,Cristiana evangélica,No
64,ALEN990718HNLCHHWF9,Héctor,Vázquez,Castro,Hombre,1999,21,Nuevo León,San Nicolás de los Garza,Las Puentes,19039,3239,034,25.732812,-100.303481,Preparatoria,Soltero(a),1,Casa rentada,Sí,Sí,Sí,No,No,3.22,Católica,Sí
65,OTEA970217HNLHXHTY3,Javier,Martínez,Ramos,Hombre,1997,23,Nuevo León,General Escobedo,Zona Industrial,19021,2513,037,25.805008,-100.328674,Preparatoria,Soltero(a),1,Casa prestada,Sí,Sí,Sí,No,No,2.25,Católica,No
66,YMIN980910MNLRPGRJ4,Elena,Díaz,Treviño,Mujer,1998,22,Nuevo León,Monterrey,Contry,19019,1184,041,25.693422,-100.325886,Secundaria,Soltero(a),1,Casa propia pagada,Sí,No,Sí,Sí,No,4.04,Cristiana evangélica,No
67,TPWZ030312HNLDJYJD9,Ernesto,García,Muñoz,Hombre,2003,17,Nuevo León,Monterrey,Valle Oriente,19019,5413,025,25.683843,-100.305554,Licenciatura,Soltero(a),2,Casa propia (crédito),Sí,Sí,Sí,No,Sí,3.22,Otra,No
68,TVOZ030628MNLRHZSW4,Fernanda,Lara,Vázquez,Mujer,2003,17,Nuevo León,Pesquería,Colinas de San Jerónimo,19034,8328,036,25.734221,-100.020339,Preparatoria,Soltero(a),1,Casa propia pagada,Sí,Sí,Sí,Sí,No,3.09,Católica,No
69,BQSZ010726HNLXZHQK5,Diego,Castro,Torres,Hombre,2001,19,Nuevo León,Salinas Victoria,Zona Industrial,19044,4507,031,25.99835,-100.316002,Técnico superior,Casado(a),0,Casa propia pagada,Sí,Sí,Sí,Sí,No,1.94,Católica,No
70,GYTZ040609HNLGVZDQ2,Héctor,Medina,Salinas,Hombre,2004,16,Nuevo León,Juárez,La Finca,19031,1736,028,25.638642,-100.099779,Primaria completa,Soltero(a),0,Casa rentada,Sí,Sí,Sí,Sí,No,2.49,Católica,No
71,IKPG001220MNLFWHHB3,Fernanda,Sánchez,Torres,Mujer,2000,20,Nuevo León,General Escobedo,Contry,19021,2350,027,25.83557,-100.306318,Licenciatura,Unión libre,0,Casa rentada,Sí,Sí,Sí,Sí,No,0.89,Católica,No
72,JNAY030921HNLMQXKW4,Ernesto,Jiménez,Jiménez,Hombre,2003,17,Nuevo León,García,Valle Oriente,19018,7630,046,25.826485,-100.605191,Técnico superior,Casado(a),0,Cuarto en vecindad,Sí,Sí,Sí,Sí,No,1.29,Católica,No
73,UHDU000709HNLHTPWJ2,Andrés,Longoria,Sánchez,Hombre,2000,20,Nuevo León,San Pedro Garza García,Mitras Centro,19041,6175,031,25.651047,-100.403803,Preparatoria,Casado(a),3,Casa propia pagada,Sí,Sí,Sí,No,Sí,2.9,Otra,No
74,TFHP010120MNLWRGDC4,Brenda,Morales,Ruiz,Mujer,2001,19,Nuevo León,Santa Catarina,Valle Norte,19046,3294,025,25.68537,-100.477753,Primaria completa,Soltero(a),2,Casa propia pagada,Sí,Sí,Sí,No,No,2.94,Católica,No
75,WBHT970210MNLNSPXF0,Valentina,Díaz,Reyes,Mujer,1997,23,Nuevo León,San Nicolás de los Garza,Las Puentes,19039,4605,030,25.733669,-100.299677,Técnico superior,Casado(a),0,Casa rentada,Sí,Sí,Sí,No,Sí,0.7,Católica,No
76,BBCG011108HNLBPBGR7,Fernando,Muñoz,Cruz,Hombre,2001,19,Nuevo León,Apodaca,Colonia Centro,19006,6945,021,25.763779,-100.171236,Secundaria,Soltero(a),0,Casa prestada,Sí,Sí,Sí,Sí,Sí,2.23,Católica,No
77,OIDA060222HNLFWSNW8,Luis,García,Torres,Hombre,2006,14,Nuevo León,Juárez,Valle Oriente,19031,2490,037,25.648559,-100.096992,Preparatoria,Soltero(a),3,Casa prestada,Sí,Sí,Sí,Sí,Sí,1.71,Católica,No
78,PUYA020503HNLGRPPL8,Fernando,Cantú,Herrera,Hombre,2002,18,Nuevo León,Santa Catarina,El Mirador,19046,4993,016,25.706518,-100.466062,Licenciatura,Casado(a),3,Casa prestada,Sí,Sí,Sí,Sí,No,2.41,Sin religión,No
79,PDAR060404MNLKVVDP4,Gabriela,Guerrero,Salinas,Mujer,2006,14,Nuevo León,Juárez,Valle Oriente,19031,7340,022,25.64597,-100.120821,Secundaria,Casado(a),0,Casa propia pagada,Sí,Sí,Sí,No,Sí,1.94,Cristiana evangélica,No
80,MQDN990128MNLBQRGL4,Ana,Vázquez,Torres,Mujer,1999,21,Nuevo León,San Nicolás de los Garza,Col. Obrera,19039,5679,047,25.744094,-100.293938,Primaria completa,Soltero(a),1,Casa propia pagada,Sí,Sí,Sí,Sí,No,3.72,Católica,No
81,BSGO970904HNLRDSCS7,Antonio,Longoria,Pérez,Hombre,1997,23,Nuevo León,Monterrey,Colonia Centro,19019,9204,035,25.689926,-100.318561,Licenciatura,Casado(a),1,Casa rentada,Sí,Sí,Sí,Sí,No,2.63,Testigo de Jehová,No
82,RNNR970402HNLCQNFY9,Andrés,Guerrero,Pérez,Hombre,1997,23,Nuevo León,Juárez,Residencial San Agustín,19031,8273,030,25.650968,-100.083212,Primaria incompleta,Soltero(a),1,Casa propia pagada,Sí,Sí,Sí,No,Sí,2.31,Católica,No
83,JENM981223HNLBGMKF5,Javier,Herrera,Longoria,Hombre,1998,22,Nuevo León,General Escobedo,Zona Industrial,19021,7134,048,25.796742,-100.312464,Licenciatura,Casado(a),2,Casa propia (crédito),Sí,Sí,Sí,Sí,Sí,2.14,Católica,No
84,WPET031017HNLGWHGQ9,Ricardo,Ruiz,Hernández,Hombre,2003,17,Nuevo León,General Escobedo,San Bernabé,19021,2047,002,25.816925,-100.323992,Secundaria,Casado(a),3,Casa propia (crédito),Sí,Sí,Sí,No,No,1.79,Sin religión,No
85,NKIS040725MNLGLCSV5,Isabella,Villarreal,Medina,Mujer,2004,16,Nuevo León,General Escobedo,Col. Obrera,19021,1164,022,25.803218,-100.322939,Licenciatura,Soltero(a),1,Casa prestada,Sí,Sí,Sí,Sí,No,2.27,Católica,Sí
86,NMHP040211HNLMFRJZ9,Luis,Ruiz,Ortiz,Hombre,2004,16,Nuevo León,San Nicolás de los Garza,Paseo de San Patricio,19039,1455,022,25.742854,-100.322075,Licenciatura,Divorciado(a),0,Casa prestada,Sí,Sí,Sí,Sí,No,1.64,Sin religión,No
87,WFMS060108HNLKPQHF8,Javier,Castro,Guerrero,Hombre,2006,14,Nuevo León,Santa Catarina,Contry,19046,5352,036,25.703164,-100.456665,Preparatoria,Soltero(a),0,Casa rentada,Sí,Sí,Sí,Sí,Sí,2.58,Católica,No
88,JLHK040528MNLXQYPD0,Sofía,Díaz,Reyes,Mujer,2004,16,Nuevo León,Guadalupe,Cumbres,19026,2339,037,25.682344,-100.261936,Licenciatura,Soltero(a),1,Casa propia pagada,Sí,Sí,Sí,Sí,No,2.33,Testigo de Jehová,No
89,TXGN070201HNLFWWXK0,Fernando,Rodríguez,Ramírez,Hombre,2007,13,Nuevo León,General Escobedo,Valle Oriente,19021,8796,045,25.793747,-100.346496,Preparatoria,Soltero(a),2,Casa propia pagada,Sí,Sí,Sí,No,No,0.86,Católica,No
90,TVHD000912MNLDQRMD0,Mariana,Morales,Cruz,Mujer,2000,20,Nuevo León,Ciénega de Flores,Zona Industrial,19013,1360,049,25.974984,-100.161809,Licenciatura,Divorciado(a),5,Casa propia (crédito),Sí,Sí,Sí,Sí,Sí,4.18,Sin religión,No
91,WDLO020807HNLQSZLB9,Antonio,Muñoz,Ruiz,Hombre,2002,18,Nuevo León,García,Residencial San Agustín,19018,4893,019,25.78435,-100.606671,Licenciatura,Divorciado(a),0,Casa rentada,Sí,Sí,Sí,No,Sí,2.09,Cristiana evangélica,No
92,FWOL990712HNLWFZNX6,Eduardo,Vázquez,Muñoz,Hombre,1999,21,Nuevo León,Monterrey,Contry,19019,9687,012,25.684093,-100.308642,Licenciatura,Casado(a),0,Casa propia pagada,Sí,Sí,Sí,Sí,No,1.0,Católica,No
93,HTXF971104HNLPFVFX1,Marco,Muñoz,Flores,Hombre,1997,23,Nuevo León,García,Valle Oriente,19018,2533,006,25.803917,-100.57499,Secundaria,Unión libre,0,Casa propia (crédito),Sí,Sí,Sí,Sí,Sí,1.14,Católica,No
94,VWYU050522HNLBGPHL9,Héctor,de León,Cantú,Hombre,2005,15,Nuevo León,San Nicolás de los Garza,Residencial San Agustín,19039,8297,044,25.718717,-100.290576,Licenciatura,Divorciado(a),3,Casa propia pagada,Sí,Sí,Sí,No,Sí,3.91,Católica,No
95,CEMZ001227HNLBWRTZ2,Miguel,Herrera,González,Hombre,2000,20,Nuevo León,San Nicolás de los Garza,Valle Norte,19039,8336,032,25.739968,-100.296802,Secundaria,Soltero(a),0,Casa propia pagada,Sí,Sí,Sí,Sí,Sí,4.05,Católica,No
96,HYBX000101HNLLJCYK7,Manuel,Medina,Sánchez,Hombre,2000,20,Nuevo León,San Nicolás de los Garza,Col. Obrera,19039,5778,047,25.717067,-100.306278,Licenciatura,Casado(a),1,Casa propia pagada,Sí,Sí,Sí,Sí,Sí,0.53,Católica,No
97,PJJV051217HNLZWSCV1,Antonio,Hernández,Ramos,Hombre,2005,15,Nuevo León,San Nicolás de los Garza,San Bernabé,19039,7311,032,25.734768,-100.276051,Preparatoria,Viudo(a),0,Casa propia pagada,Sí,Sí,Sí,Sí,Sí,0.85,Católica,No
98,SPOK040111HNLNTHSK6,Rodrigo,Álvarez,Treviño,Hombre,2004,16,Nuevo León,Montemorelos,Colonia Centro,19033,9987,031,25.192697,-99.836316,Técnico superior,Unión libre,0,Casa propia (crédito),Sí,Sí,Sí,Sí,No,2.07,Sin religión,No
99,EACE051003MNLXYNLB6,Cristina,López,Treviño,Mujer,2005,15,Nuevo León,Pesquería,Contry,19034,2541,045,25.75051,-100.032637,Preparatoria,Casado(a),3,Casa rentada,Sí,Sí,Sí,No,No,0.57,Católica,No
